Starting Column	Variable Name	Field Length
1475	_LLCPWT	10
1485	_RFHLTH	1
1486	_HCVU651	1
1487	_RFHYPE5	1
1488	_CHOLCHK	1
1489	_RFCHOL	1
1490	_LTASTH1	1
1491	_CASTHM1	1
1492	_ASTHMS1	1
1493	_DRDXAR1	1
1494	_SMOKER3	1
1495	_RFSMOK3	1
1496	MRACEORG	6
1502	MRACEASC	6
1508	_PRACE	2
1510	_MRACE	2
1512	RACE2	1
1513	_RACEG2	1
1514	_RACEGR2	1
1515	_RACE_G	1
1516	_CNRACE	1
1517	_CNRACEC	1
1518	_AGEG5YR	2
1520	_AGE65YR	1
1521	_AGE_G	1
1522	HTIN4	3
1525	HTM4	3
1528	WTKG3	5
1533	_BMI5	4
1537	_BMI5CAT	1
1538	_RFBMI5	1
1539	_CHLDCNT	1
1540	_EDUCAG	1
1541	_INCOMG	1
1542	FTJUDA1_	4
1546	FRUTDA1_	4
1550	BEANDAY_	4
1554	GRENDAY_	4
1558	ORNGDAY_	4
1562	VEGEDA1_	4
1566	_MISFRTN	1
1567	_MISVEGN	1
1568	_FRTRESP	1
1569	_VEGRESP	1
1570	_FRUTSUM	6
1576	_VEGESUM	6
1582	_FRT16	1
1583	_VEG23	1
1584	_FRUITEX	1
1585	_VEGETEX	1
1586	_TOTINDA	1
1587	METVAL1_	3
1590	METVAL2_	3
1593	MAXVO2_	5
1598	FC60_	5
1603	ACTINT1_	1
1604	ACTINT2_	1
1605	PADUR1_	3
1608	PADUR2_	3
1611	PAFREQ1_	5
1616	PAFREQ2_	5
1621	_MINACT1	5
1626	_MINACT2	5
1631	STRFREQ_	5
1636	PAMISS_	1
1637	PAMIN1_	5
1642	PAMIN2_	5
1647	PAMIN_	5
1652	PAVIGM1_	5
1657	PAVIGM2_	5
1662	PAVIGMN_	5
1667	_PACAT	1
1668	_PAINDEX	1
1669	_PA150R1	1
1670	_PA300R1	1
1671	_PA3002L	1
1672	_PASTRNG	1
1673	_PAREC	1
1674	_PASTAER	1
1675	_RFSEAT2	1
1676	_RFSEAT3	1
1677	_FLSHOT5	1
1678	_PNEUMO2	1
1679	DRNKANY5	1
1680	DROCDY3_	3
1683	_RFBING5	1
1684	_DRNKDY4	4
1688	_DRNKMO4	4
1692	_RFDRHV4	1
1693	_RFDRMN4	1
1694	_RFDRWM4	1
1695	_AIDTST3	1
